what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1323575086811
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1323575086812
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1323575086814
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1323575086815
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1323575086817
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1323575086818
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1323575086818
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1323575086819
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1323575086820
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1323575086821
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1323575086822
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1323575086824
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1323575086825
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1323575086826
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1323575086827
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1323575086829
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1323575086830
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1323575086832
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1323575086834
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1323575086836
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1323575086837
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1323575086839
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1323575086841
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1323575086842
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1323575086843
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1323575086844
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1323575086845
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1323575086846
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1323575086848
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1323575086849
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1323575086850
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323575086851
os,sysinfo,,,"macosx",1323575086854
arch,sysinfo,,,"x86",1323575086854
ws,sysinfo,,,"cocoa",1323575086854
locale,sysinfo,,,"en_US",1323575086854
processors,sysinfo,,,"2",1323575086854
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323575086854
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1323575086854
java.specification.name,sysinfo,,,"Java Platform API Specification",1323575086854
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323575086854
java.specification.version,sysinfo,,,"1.6",1323575086854
java.vendor,sysinfo,,,"Apple Inc.",1323575086854
java.version,sysinfo,,,"1.6.0_29",1323575086854
java.vm.info,sysinfo,,,"mixed mode",1323575086854
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1323575086854
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323575086854
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323575086854
java.vm.specification.version,sysinfo,,,"1.0",1323575086854
java.vm.vendor,sysinfo,,,"Apple Inc.",1323575086854
java.vm.version,sysinfo,,,"20.4-b02-402",1323575086854
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1323575088149
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1323575088204
started,bundle,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.core",1323575088224
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1323575088277
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201109151620,"org.eclipse.cdt.msw.build",1323575088352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1323575102438
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323575103852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575106027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575113942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575114030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575114819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323575114831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575122035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575128121
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1323575128171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1323575128171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575134072
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201109151620,"org.eclipse.cdt.managedbuilder.ui",1323575136393
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1323575167231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323575169247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575207542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1323575207586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575209857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575214856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1323575214908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575219335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575225355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1323575225424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575227554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575229575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1323575229616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575231791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575241484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1323575241533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575245674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1323575265603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323575268262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575336642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1323575336686
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1323575347816
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1323575347822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575351000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575355249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575432814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575436016
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1323575445691
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1323575445819
started,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1323575446121
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575453700
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1323575455480
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575457416
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575457576
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575457711
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575457847
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575458015
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575458271
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1323575466536
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575468527
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575468664
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575468968
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1323575469408
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1323575470200
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1323575470543
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1323575470743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323575473527
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323575490288
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1323575497877
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1323575498111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323575498204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323575503458
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323575505968
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildProject",1323575506975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575526136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575551734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1323575551821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575554116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575576232
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1323575576321
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildProject",1323575578252
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323575606428
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1323575610792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575612746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575650887
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1323575653029
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323575654815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323575655877
